tampico
128,80
129,82
130,82
131,82
132,82
133,83
134,83
135,83
136,83
137,83
138,83
139,83
140,83
141,84
142,85
143,85
144,85
145,111
146,120
147,122
148,122
149,123
150,129
151,140
152,140
153,156
154,168
155,169
156,169
157,175
158,176
159,180
160,185
161,185
162,197
163,197
164,197
165,209
166,209
167,214
168,219
169,224
170,224
171,226
172,233
173,247
174,247
175,258
176,258
177,264
178,272
179,279
180,279
181,287
182,304
183,304
184,311
185,329
186,329
187,330
188,335
189,335
190,338
191,338
192,340
193,349
194,349
195,349
196,356
